Reporter,Element,Year,Item,Afghanistan,Albania,Argentina,Armenia,Australia,Austria,Azerbaijan,Bangladesh,Belgium,Belize,Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Bulgaria,Burundi,Cambodia,Cameroon,Canada,Cayman Islands,Chile,China,"China, Hong Kong SAR","China, Macao SAR",Colombia,Congo,Cook Islands,Costa Rica,Côte d'Ivoire,Croatia,Cyprus,Czech Republic,Democratic People's Republic of Korea,Democratic Republic of the Congo,Denmark,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Estonia,Ethiopia,Faroe Islands,Fiji,Finland,France,French Polynesia,Georgia,Germany,Ghana,Greece,Grenada,Guatemala,Guinea-Bissau,Guyana,Haiti,Honduras,Hungary,Iceland,India,Indonesia,Iran (Islamic Republic of),Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kyrgyzstan,Lao People's Democratic Republic,Latvia,Lebanon,Libya,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,Montenegro,Morocco,Mozambique,Myanmar,Netherlands,New Caledonia,New Zealand,Nicaragua,Nigeria,Norway,Pakistan,Panama,Peru,Philippines,Poland,Portugal,Qatar,Republic of Korea,Republic of Moldova,Romania,Russian Federation,Rwanda,Saint Lucia,Saint Vincent and the Grenadines,Samoa,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Singapore,Slovakia,Slovenia,South Africa,Spain,Sri Lanka,Suriname,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Thailand,The former Yugoslav Republic of Macedonia,Trinidad and Tobago,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United Republic of Tanzania,United States of America,Unspecified,Uruguay,Uzbekistan,Venezuela (Bolivarian Republic of),Viet Nam,Yemen,Zambia,Zimbabwe,,,
Croatia,Import Quantity,2009,Fruit Fresh Nes,,,0,,,,,,,,,,,,,,,,,,,0,,,1,,,,,,,,,,,,,0,212,,,,,,,,,,,,,,,,,,,,,0,,0,0,3,12,,,,,,,,,,,,,1,,2,,,,,0,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,91,,,,,,,0,4,,,253,,,,,,,,,,,0,,,0,,590,0.000354967
Cyprus,Import Quantity,2009,Fruit Fresh Nes,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,23,,,1,,897,,,,,,,,,55,,,,329,219,,,,,,,,,,,,,,,,,,,,,,,,,,"2,116.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,4,,,,,,,,,,,,,,,,,,,,,,,,,,3674,0.002210419
Czech Republic,Import Quantity,2009,Fruit Fresh Nes,,,,,,54,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,459,,12,,,,,,,,,,,,,1,52,,,,,,,,,,,,,,,,,,,,,,,,,,662,,,,,,,,,,1,,,,,,,,,,,,,,1,,13,,,624,,,,,,,142,,,,198,,,,,,,,,,,125,,,,,2413,0.001451753
Denmark,Import Quantity,2009,Fruit Fresh Nes,,,,,,,,0,42,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,0,,,,,,,20,,,337,,14,,,,,,,,,,,0,,,34,,,0,,,,,,,,,,,,,,,,,,,,,,,"1,124.00",,,,,,0,,,,2,,,,,,,,,,,,,,,,,,,298,,,167,,,,33,,,,156,,,,3,,,,,,,4,,,,,2234,0.00134406
Ecuador,Import Quantity,2009,Fruit Fresh Nes,,,,,,,,,,,,,,,,,,,,,,,,,"3,474.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3474,0.002090092
Egypt,Import Quantity,2009,Fruit Fresh Nes,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,9,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,24,9,,,,,,,,,64,3.85049E-05
El Salvador,Import Quantity,2009,Fruit Fresh Nes,,,,,,,,,,,,,,,,,,,,,1,,,,,,,703,,,,,,,,,,,,,,,,,,,,,,,,,"2,319.00",,,,760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,3910,0.002352406
Estonia,Import Quantity,2009,Fruit Fresh Nes,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,,,,,1,1,,,7,,,,,,,,,,,,,,,,4,,,,,,,,225,,,96,,,,,,,,,,,,,,,128,,,,,,0,,,,19,,,,,,,,,,,,,,,,,,,218,,,,,,,,,,,,,,,,,,,,,,,,,,,813,0.000489132
Ethiopia,Import Quantity,2009,Fruit Fresh Nes,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,5,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,8,4.81311E-06
Faroe Islands,Import Quantity,2009,Fruit Fresh Nes,,,0,,,,,,,,,,1,,,,,,,,0,2,,,0,,,,0,,,,,,6,,,,,,,,,,,0,,,,,,,,,,,,,0,0,,,,1,,,,,,0,,,,,,,,,,0,,,0,,,0,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,0,,,0,,,,0,,,,0,,,,1,,1,0,,,,0,,,,,12,7.21966E-06
